Order_ID,Order_Date,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Inventory_Available,Marketing_Spend,Revenue
1,2024-06-02,Bed,Furniture,North,4,3312,17,377,1240,13248
2,2022-12-31,Sofa,Furniture,South,15,43751,2,393,3840,656265
3,2022-03-21,Dining Table,Furniture,South,10,24834,0,125,3128,248340
4,2023-06-17,Sofa,Furniture,North,2,25286,2,322,3220,50572
5,2023-11-16,Bookshelf,Furniture,East,7,16252,18,248,6026,113764
6,2024-01-10,Dining Table,Furniture,South,16,6993,13,272,4497,111888
7,2023-01-18,Coffee Table,Furniture,South,19,49949,20,397,9813,949031
8,2025-05-01,Sofa,Furniture,South,3,31742,12,245,8415,95226
9,2024-06-08,Study Table,Furniture,North,16,24149,18,50,1859,386384
10,2023-02-09,Wardrobe,Furniture,East,17,47076,7,315,1338,800292
11,2024-11-17,Office Chair,Furniture,West,16,49656,6,465,7413,794496
12,2023-07-12,Coffee Table,Furniture,West,12,7285,3,204,3538,87420
13,2025-03-15,Bed,Furniture,North,11,24480,5,143,7344,269280
14,2025-09-04,Study Table,Furniture,North,4,44549,6,363,2659,178196
15,2025-02-06,Study Table,Furniture,North,9,19321,17,289,4292,173889
16,2025-03-18,Sofa,Furniture,West,17,19142,14,466,6283,325414
17,2022-01-19,Bookshelf,Furniture,South,2,27392,20,77,1530,54784
18,2022-08-06,Wardrobe,Furniture,East,7,30330,14,324,5784,212310
19,2024-08-15,Dining Table,Furniture,South,6,38455,8,400,2772,230730
20,2025-11-13,Dining Table,Furniture,North,16,35659,6,328,3700,570544
21,2024-07-13,Bookshelf,Furniture,South,14,5409,11,344,3657,75726
22,2023-12-23,Wardrobe,Furniture,North,1,12973,15,404,1595,12973
23,2025-03-29,Dining Table,Furniture,West,2,37444,1,237,6744,74888
24,2024-05-10,Study Table,Furniture,West,6,20987,16,219,8824,125922
25,2022-02-01,Office Chair,Furniture,West,6,49059,15,135,9959,294354
26,2024-06-09,Office Chair,Furniture,West,15,32990,2,289,1826,494850
27,2025-09-21,Bed,Furniture,West,14,35443,14,192,4863,496202
28,2022-09-27,Bookshelf,Furniture,North,1,10558,9,226,1209,10558
29,2025-12-13,Dining Table,Furniture,North,19,26618,7,367,9496,505742
30,2023-10-24,Bookshelf,Furniture,South,12,27700,12,330,7974,332400
31,2023-04-29,Coffee Table,Furniture,North,12,21645,3,324,8227,259740
32,2025-02-20,Bookshelf,Furniture,North,1,49393,18,76,1933,49393
33,2024-05-09,Bookshelf,Furniture,East,1,25509,15,188,6793,25509
34,2023-01-22,Wardrobe,Furniture,West,1,18322,7,487,7743,18322
35,2022-04-30,Bookshelf,Furniture,South,18,26773,13,141,3383,481914
36,2022-04-30,Office Chair,Furniture,West,7,42009,19,305,2377,294063
37,2024-10-01,Coffee Table,Furniture,West,14,6512,10,324,1041,91168
38,2022-05-23,Study Table,Furniture,West,15,13243,11,305,4310,198645
39,2025-11-30,Dining Table,Furniture,South,3,29389,0,183,6296,88167
40,2022-12-02,Bookshelf,Furniture,East,9,4845,9,360,5801,43605
41,2022-10-28,Dining Table,Furniture,West,13,45344,12,432,6812,589472
42,2022-08-19,Coffee Table,Furniture,South,12,47984,10,333,7127,575808
43,2024-10-17,Coffee Table,Furniture,West,8,38612,12,254,1433,308896
44,2025-05-13,Wardrobe,Furniture,South,17,49909,8,363,8941,848453
45,2024-06-28,Coffee Table,Furniture,East,17,24141,8,201,3396,410397
46,2024-11-21,Study Table,Furniture,East,6,41304,3,147,2583,247824
47,2022-03-07,Coffee Table,Furniture,West,14,16587,6,217,3018,232218
48,2023-11-17,Study Table,Furniture,North,7,32256,18,347,1052,225792
49,2024-04-26,Study Table,Furniture,East,10,15934,10,365,5898,159340
50,2023-06-01,Coffee Table,Furniture,South,9,3559,4,142,3036,32031
51,2024-01-04,Study Table,Furniture,South,3,21091,2,223,3444,63273
52,2024-09-19,Wardrobe,Furniture,North,12,2458,1,52,6843,29496
53,2024-12-27,Bed,Furniture,North,2,47092,4,116,4538,94184
54,2023-06-23,Study Table,Furniture,West,3,26635,4,192,3731,79905
55,2024-02-25,Bookshelf,Furniture,South,15,16578,3,236,1246,248670
56,2023-12-25,Sofa,Furniture,South,10,20123,16,473,8808,201230
57,2024-11-27,Office Chair,Furniture,West,2,38730,16,330,6863,77460
58,2022-12-07,Bed,Furniture,West,7,18293,3,465,6349,128051
59,2022-02-25,Bookshelf,Furniture,West,12,34763,4,69,8899,417156
60,2025-11-29,Dining Table,Furniture,South,15,34880,8,342,8562,523200
61,2025-08-17,Bookshelf,Furniture,North,1,17689,7,481,7989,17689
62,2024-11-03,Wardrobe,Furniture,South,14,20549,18,186,7863,287686
63,2025-07-31,Study Table,Furniture,North,15,28643,19,307,4611,429645
64,2025-05-14,Wardrobe,Furniture,South,20,28338,6,179,8803,566760
65,2023-07-06,Dining Table,Furniture,East,4,34150,18,226,2018,136600
66,2025-02-28,Office Chair,Furniture,East,18,12867,3,201,8106,231606
67,2022-12-13,Study Table,Furniture,West,17,25092,13,274,6603,426564
68,2022-03-22,Sofa,Furniture,North,7,2516,8,343,5603,17612
69,2025-03-29,Sofa,Furniture,West,2,17386,16,201,1135,34772
70,2022-02-16,Dining Table,Furniture,East,3,10734,5,168,3769,32202
71,2025-08-29,Bookshelf,Furniture,East,8,41017,8,328,4211,328136
72,2022-02-04,Study Table,Furniture,East,17,33693,15,188,3482,572781
73,2025-07-03,Dining Table,Furniture,West,13,13644,12,342,5829,177372
74,2023-06-08,Bookshelf,Furniture,West,20,48625,1,400,9331,972500
75,2023-08-01,Wardrobe,Furniture,South,2,5075,20,215,9410,10150
76,2024-06-14,Coffee Table,Furniture,South,19,23688,5,457,8741,450072
77,2025-05-31,Coffee Table,Furniture,West,6,43310,6,57,1102,259860
78,2024-01-19,Sofa,Furniture,North,18,15712,17,440,6470,282816
79,2024-05-29,Wardrobe,Furniture,East,11,24331,15,294,6994,267641
80,2025-12-27,Office Chair,Furniture,North,9,16583,14,155,5423,149247
81,2023-02-16,Bookshelf,Furniture,West,14,29398,5,115,9146,411572
82,2022-03-26,Sofa,Furniture,West,5,21325,11,250,2132,106625
83,2024-01-14,Sofa,Furniture,South,19,12183,8,286,5532,231477
84,2023-09-21,Dining Table,Furniture,South,14,47893,6,100,3314,670502
85,2025-03-14,Sofa,Furniture,West,8,21922,4,247,4057,175376
86,2025-10-16,Study Table,Furniture,North,8,23342,2,394,4390,186736
87,2022-04-02,Wardrobe,Furniture,North,11,29928,15,367,6772,329208
88,2024-01-17,Bed,Furniture,South,12,24553,3,294,4961,294636
89,2024-06-05,Study Table,Furniture,West,3,47145,3,290,4878,141435
90,2025-08-10,Coffee Table,Furniture,North,4,8969,11,388,4842,35876
91,2022-02-13,Bookshelf,Furniture,West,15,44824,0,144,1555,672360
92,2025-07-15,Coffee Table,Furniture,West,16,19805,9,151,8773,316880
93,2025-11-11,Dining Table,Furniture,West,20,42320,7,464,5834,846400
94,2023-05-27,Study Table,Furniture,South,13,4554,18,196,9330,59202
95,2023-11-01,Office Chair,Furniture,South,6,2580,5,152,3779,15480
96,2023-08-26,Sofa,Furniture,West,14,5013,1,396,4556,70182
97,2025-06-11,Sofa,Furniture,North,11,13897,12,467,7153,152867
98,2022-05-25,Bookshelf,Furniture,East,19,33562,10,236,3171,637678
99,2022-07-21,Wardrobe,Furniture,East,3,7343,10,110,5042,22029
100,2025-03-23,Bookshelf,Furniture,South,6,9963,5,367,2526,59778
101,2025-09-01,Wardrobe,Furniture,South,9,16577,6,335,2911,149193
102,2025-06-12,Dining Table,Furniture,West,9,4727,7,360,7947,42543
103,2023-08-17,Office Chair,Furniture,South,6,37829,17,123,7484,226974
104,2024-07-06,Dining Table,Furniture,East,1,43370,18,251,8147,43370
105,2022-03-05,Wardrobe,Furniture,North,6,49707,9,307,4010,298242
106,2023-01-27,Study Table,Furniture,South,20,22102,15,389,3677,442040
107,2025-07-06,Study Table,Furniture,West,9,21614,11,357,2264,194526
108,2022-09-11,Dining Table,Furniture,East,14,43485,6,419,1184,608790
109,2025-03-13,Dining Table,Furniture,West,5,6928,17,146,1474,34640
110,2024-12-13,Office Chair,Furniture,West,20,3360,4,78,4447,67200
111,2024-04-06,Bed,Furniture,West,15,25847,16,62,1617,387705
112,2023-09-26,Bookshelf,Furniture,East,3,23445,13,316,1665,70335
113,2023-09-28,Bookshelf,Furniture,South,6,28621,17,115,1964,171726
114,2024-01-08,Coffee Table,Furniture,North,10,24625,13,87,9755,246250
115,2024-08-19,Sofa,Furniture,East,15,26424,2,172,8682,396360
116,2025-03-31,Office Chair,Furniture,West,20,32365,3,476,6666,647300
117,2025-09-15,Bookshelf,Furniture,South,17,49928,9,238,8484,848776
118,2025-04-06,Wardrobe,Furniture,West,9,49480,8,112,1702,445320
119,2023-03-30,Study Table,Furniture,East,11,5657,15,314,8387,62227
120,2023-01-19,Bed,Furniture,South,14,14552,19,210,2965,203728
121,2022-05-22,Sofa,Furniture,East,19,37941,17,474,1249,720879
122,2022-05-12,Dining Table,Furniture,West,16,37846,10,465,3069,605536
123,2023-09-03,Office Chair,Furniture,South,20,30132,16,176,2696,602640
124,2025-06-11,Wardrobe,Furniture,East,18,12655,3,186,8137,227790
125,2025-01-26,Dining Table,Furniture,North,11,23889,2,214,9265,262779
126,2022-09-27,Bed,Furniture,East,14,35557,8,133,5114,497798
127,2023-11-01,Coffee Table,Furniture,East,3,24745,20,88,5799,74235
128,2025-07-15,Wardrobe,Furniture,North,13,26795,1,333,1288,348335
129,2024-10-20,Coffee Table,Furniture,North,4,30916,16,326,6826,123664
130,2024-12-20,Dining Table,Furniture,North,15,3268,11,441,5665,49020
131,2023-04-30,Wardrobe,Furniture,South,16,14080,15,297,9316,225280
132,2023-03-13,Study Table,Furniture,North,1,16416,6,303,3572,16416
133,2025-05-21,Dining Table,Furniture,West,4,26693,13,470,7390,106772
134,2024-01-16,Office Chair,Furniture,South,2,26130,19,488,2428,52260
135,2023-02-23,Wardrobe,Furniture,North,6,49898,2,267,6723,299388
136,2025-10-07,Study Table,Furniture,West,8,19106,8,382,8762,152848
137,2023-09-30,Bed,Furniture,East,2,6509,10,457,5511,13018
138,2023-03-01,Bed,Furniture,South,9,4002,14,213,3432,36018
139,2022-04-01,Sofa,Furniture,North,10,43002,10,153,5533,430020
140,2022-04-10,Coffee Table,Furniture,East,19,17063,10,68,5344,324197
141,2025-03-26,Bed,Furniture,South,12,17436,17,130,9024,209232
142,2023-11-09,Study Table,Furniture,North,7,24373,0,426,8600,170611
143,2025-10-30,Study Table,Furniture,South,19,42353,8,158,6902,804707
144,2025-02-07,Bed,Furniture,East,12,47821,10,289,4539,573852
145,2025-06-15,Sofa,Furniture,North,1,6076,17,314,2552,6076
146,2025-01-01,Wardrobe,Furniture,East,2,35567,11,418,8575,71134
147,2023-03-22,Dining Table,Furniture,South,4,33654,16,291,3590,134616
148,2023-05-21,Bed,Furniture,East,4,36912,11,361,7981,147648
149,2023-04-21,Coffee Table,Furniture,East,9,41098,19,202,6046,369882
150,2024-05-15,Dining Table,Furniture,West,13,49514,7,342,5455,643682
151,2025-09-01,Bookshelf,Furniture,West,19,44533,10,303,8662,846127
152,2022-05-28,Study Table,Furniture,East,2,4264,3,379,2877,8528
153,2024-06-03,Study Table,Furniture,West,19,2141,20,403,3985,40679
154,2022-05-03,Bed,Furniture,East,4,31530,10,272,4166,126120
155,2023-09-04,Office Chair,Furniture,North,5,17318,1,66,9310,86590
156,2023-12-12,Office Chair,Furniture,West,3,13954,13,457,8732,41862
157,2025-11-14,Coffee Table,Furniture,South,13,38288,8,483,2741,497744
158,2023-12-27,Sofa,Furniture,West,4,44514,7,177,6811,178056
159,2023-08-28,Bed,Furniture,North,19,14177,6,66,4913,269363
