Order_ID,Order_Date,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Inventory_Available,Marketing_Spend,Revenue,Month,Quarter,Year
1,2024-06-02,Bed,Furniture,North,4,3312,17,377,1240,13248,6,2,2024
2,2022-12-31,Sofa,Furniture,South,15,43751,2,393,3840,656265,12,4,2022
3,2022-03-21,Dining Table,Furniture,South,10,24834,0,125,3128,248340,3,1,2022
4,2023-06-17,Sofa,Furniture,North,2,25286,2,322,3220,50572,6,2,2023
5,2023-11-16,Bookshelf,Furniture,East,7,16252,18,248,6026,113764,11,4,2023
6,2024-01-10,Dining Table,Furniture,South,16,6993,13,272,4497,111888,1,1,2024
7,2023-01-18,Coffee Table,Furniture,South,19,49949,20,397,9813,949031,1,1,2023
8,2025-05-01,Sofa,Furniture,South,3,31742,12,245,8415,95226,5,2,2025
9,2024-06-08,Study Table,Furniture,North,16,24149,18,50,1859,386384,6,2,2024
10,2023-02-09,Wardrobe,Furniture,East,17,47076,7,315,1338,800292,2,1,2023
11,2024-11-17,Office Chair,Furniture,West,16,49656,6,465,7413,794496,11,4,2024
12,2023-07-12,Coffee Table,Furniture,West,12,7285,3,204,3538,87420,7,3,2023
13,2025-03-15,Bed,Furniture,North,11,24480,5,143,7344,269280,3,1,2025
14,2025-09-04,Study Table,Furniture,North,4,44549,6,363,2659,178196,9,3,2025
15,2025-02-06,Study Table,Furniture,North,9,19321,17,289,4292,173889,2,1,2025
16,2025-03-18,Sofa,Furniture,West,17,19142,14,466,6283,325414,3,1,2025
17,2022-01-19,Bookshelf,Furniture,South,2,27392,20,77,1530,54784,1,1,2022
18,2022-08-06,Wardrobe,Furniture,East,7,30330,14,324,5784,212310,8,3,2022
19,2024-08-15,Dining Table,Furniture,South,6,38455,8,400,2772,230730,8,3,2024
20,2025-11-13,Dining Table,Furniture,North,16,35659,6,328,3700,570544,11,4,2025
21,2024-07-13,Bookshelf,Furniture,South,14,5409,11,344,3657,75726,7,3,2024
22,2023-12-23,Wardrobe,Furniture,North,1,12973,15,404,1595,12973,12,4,2023
23,2025-03-29,Dining Table,Furniture,West,2,37444,1,237,6744,74888,3,1,2025
24,2024-05-10,Study Table,Furniture,West,6,20987,16,219,8824,125922,5,2,2024
25,2022-02-01,Office Chair,Furniture,West,6,49059,15,135,9959,294354,2,1,2022
26,2024-06-09,Office Chair,Furniture,West,15,32990,2,289,1826,494850,6,2,2024
27,2025-09-21,Bed,Furniture,West,14,35443,14,192,4863,496202,9,3,2025
28,2022-09-27,Bookshelf,Furniture,North,1,10558,9,226,1209,10558,9,3,2022
29,2025-12-13,Dining Table,Furniture,North,19,26618,7,367,9496,505742,12,4,2025
30,2023-10-24,Bookshelf,Furniture,South,12,27700,12,330,7974,332400,10,4,2023
31,2023-04-29,Coffee Table,Furniture,North,12,21645,3,324,8227,259740,4,2,2023
32,2025-02-20,Bookshelf,Furniture,North,1,49393,18,76,1933,49393,2,1,2025
33,2024-05-09,Bookshelf,Furniture,East,1,25509,15,188,6793,25509,5,2,2024
34,2023-01-22,Wardrobe,Furniture,West,1,18322,7,487,7743,18322,1,1,2023
35,2022-04-30,Bookshelf,Furniture,South,18,26773,13,141,3383,481914,4,2,2022
36,2022-04-30,Office Chair,Furniture,West,7,42009,19,305,2377,294063,4,2,2022
37,2024-10-01,Coffee Table,Furniture,West,14,6512,10,324,1041,91168,10,4,2024
38,2022-05-23,Study Table,Furniture,West,15,13243,11,305,4310,198645,5,2,2022
39,2025-11-30,Dining Table,Furniture,South,3,29389,0,183,6296,88167,11,4,2025
40,2022-12-02,Bookshelf,Furniture,East,9,4845,9,360,5801,43605,12,4,2022
41,2022-10-28,Dining Table,Furniture,West,13,45344,12,432,6812,589472,10,4,2022
42,2022-08-19,Coffee Table,Furniture,South,12,47984,10,333,7127,575808,8,3,2022
43,2024-10-17,Coffee Table,Furniture,West,8,38612,12,254,1433,308896,10,4,2024
44,2025-05-13,Wardrobe,Furniture,South,17,49909,8,363,8941,848453,5,2,2025
45,2024-06-28,Coffee Table,Furniture,East,17,24141,8,201,3396,410397,6,2,2024
46,2024-11-21,Study Table,Furniture,East,6,41304,3,147,2583,247824,11,4,2024
47,2022-03-07,Coffee Table,Furniture,West,14,16587,6,217,3018,232218,3,1,2022
48,2023-11-17,Study Table,Furniture,North,7,32256,18,347,1052,225792,11,4,2023
49,2024-04-26,Study Table,Furniture,East,10,15934,10,365,5898,159340,4,2,2024
50,2023-06-01,Coffee Table,Furniture,South,9,3559,4,142,3036,32031,6,2,2023
